date, pm25, pm10, o3, no2, so2, co
12/21/2019,121,94,2,10,2,4
12/22/2019,145,108,33,9,1,6
12/23/2019,168,49,18,4,2,4
12/24/2019,66,37,13,2,2,5
12/25/2019,47,32,11,2,2,3
12/26/2019,32,29,12,1,1,1
12/27/2019,18,35,13,1,2,1
12/28/2019,29,57,28,6,2,3
12/29/2019,101,101,35,7,1,3
12/31/2019,144,88,33,7,2,2
1/1/2020,124,109,41,8,2,2
1/2/2020,152,138,47,11,3,3
1/3/2020,166,177,48,14,3,4
1/4/2020,178,167,45,14,4,5
1/5/2020,189,165,58,18,5,4
1/6/2020,182,165,52,18,4,8
1/7/2020,189,142,80,11,4,6
1/8/2020,192,201,55,12,4,7
1/9/2020,201,173,46,14,3,5
1/10/2020,193,164,62,17,7,5
1/11/2020,194,136,56,11,7,5
1/12/2020,200,137,50,7,7,4
1/13/2020,204,144,51,12, ,6
1/14/2020,200,212,51,19, ,9
1/15/2020,262,243,55,16, ,10
1/16/2020,289,283,45,19, ,10
1/17/2020,301,299,44,19, ,11
1/18/2020,299,369,44,22, ,12
1/19/2020,362,326,69,22, ,12
1/20/2020,330,284,41,16, ,9
1/21/2020,310,525,41,21, ,13
1/22/2020,503,468,67,24, ,14
1/23/2020,441,212,35,12, ,8
1/24/2020,272,177,42,13, ,8
1/25/2020,240,188,48,12, ,8
1/26/2020,259,219,39,12,4,8
1/27/2020,310,142,110,13,5,4
1/28/2020,187,225,85,18,5,8
1/29/2020,268,232,65,12,4,6
1/30/2020,283,177,82,12,6,7
1/31/2020,267,173,98,17,8,7
2/1/2020,244,238,113,25,6,11
2/2/2020,262,181,71,21,7,7
2/3/2020,186,138,63,16,5,6
2/4/2020,188,159,71,14,6,6
2/5/2020,220,216,86,20,7,7
2/6/2020,252,247,97,24,7,8
2/7/2020,240,195,87,24,6,7
2/8/2020,242,143,76,17,5,6
2/9/2020,205,132,78,15,6,5
2/10/2020,181,136,77,16,6,6
2/11/2020,176,177,82,18,5,7
2/12/2020,183,366,97,29,9,11
2/13/2020,262,263,95,22,6,11
2/14/2020,271,217,93,23,6,8
2/15/2020,243,297,102,24,7,10
2/16/2020,275,373,86,29,5,14
2/17/2020,314,353,62,26,5,12
2/18/2020,316,264,39,24,4,10
2/19/2020,275,267,42,25,4,11
2/20/2020,279,280,48,23,4,11
2/21/2020,319,297,33,22,4,11
2/22/2020,319,226,33,21,7,9
2/23/2020,246,158,34,14,4,6
2/24/2020,231,131,32,10,4,6
2/25/2020,201,146,33,16,4,7
2/26/2020,203,219,36,21,6,9
2/27/2020,261,308,31,24,5,10
2/28/2020,299,153,23,16,5,6
2/29/2020,198,122,24,15,4,5
3/1/2020,163,98,28,10,4,4
3/2/2020,147,108,28,11,4,5
3/3/2020,166,124,31,15,5,5
3/4/2020,170,170,37,19,5,7
3/5/2020,204,208,33,20,4,8
3/6/2020,250,300,31,18,5,11
3/7/2020,351,238,21,19,4,11
3/8/2020,303,149,20,13,3,8
3/9/2020,229,168,14,11,3,7
3/10/2020,226,207,2,17,3,7
3/11/2020,246,143,19,13,3,7
3/12/2020,226,138,19,13,3,7
3/13/2020,215,136,17,10,2,7
3/14/2020,205,170,7,15,3,9
3/15/2020,238,125,22,11,3,9
3/16/2020,217,136,33,11,4,7
3/17/2020,222,180,39,15,6,8
3/18/2020,263,239,33,14,5,10
